Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Transmission Pipelines,2021 Total reported direct emissions from Transmission Pipelines,2020 Total reported direct emissions from Transmission Pipelines,2019 Total reported direct emissions from Transmission Pipelines,2018 Total reported direct emissions from Transmission Pipelines,2017 Total reported direct emissions from Transmission Pipelines,2016 Total reported direct emissions from Transmission Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110071162483,Northwest Pipeline GP - Pipeline,Washington,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,178.9570707,1491.4613115,5025.9739603,8052.3885113,5118.5832078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110071162483,Northwest Pipeline GP - Pipeline,Wyoming,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,,,,,449.7283279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013109,110054114702,"ONEOK Gas Transportation, L.L.C.",Oklahoma,Tulsa,OK,74103,100 West Fifth Street,TULSA COUNTY,36.15106,-95.99127,486210,W-TRANS,19451.7602437,14217.4971669,12309.6244555,27995.5412226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012662,110000844631,PG&E Transmission Blowdown,California,San Francisco,CA,94105,77 Beale Street,SAN FRANCISCO COUNTY,37.79134,-122.39604,221210,W-TRANS,68361.5933942,65902.5964351,105020.4844304,103718.5336749,66488.6421976,120209.4079642,44460.8546715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013103,110071161914,"Roadrunner Gas Transmission, LLC",Texas,Tulsa,OK,74103,100 West Fifth Street,TULSA COUNTY,36.15106,-95.99127,486210,W-TRANS,,,,801.20313,5.4766069,61735.8243774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012276,110040513977,Rockies Express Pipeline,Colorado,Lakewood,CO,80228,370 Van Gordon,JEFFERSON COUNTY,39.722098,-105.135202,486210,W-TRANS,,,,8682.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012276,110040513977,Rockies Express Pipeline,Indiana,Lakewood,CO,80228,370 Van Gordon,JEFFERSON COUNTY,39.722098,-105.135202,486210,W-TRANS,,,,,,,43815.7719314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012276,110040513977,Rockies Express Pipeline,Nebraska,Lakewood,CO,80228,370 Van Gordon,JEFFERSON COUNTY,39.722098,-105.135202,486210,W-TRANS,,,,,,30829.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012276,110040513977,Rockies Express Pipeline,Ohio,Lakewood,CO,80228,370 Van Gordon,JEFFERSON COUNTY,39.722098,-105.135202,486210,W-TRANS,,,,,15566.7543587,949.59,86499.0714511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012752,110018967313,Southern California Gas Co Transmission,California,Los Angeles,CA,90013,555 W. 5th Street,LOS ANGELES COUNTY,34.04997,-118.25358,486210,W-TRANS,7837.496,8921.641,34954.105,63454.896,51955.162,85224.043,64272.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Colorado,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,0.1643494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Kansas,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,3026.2341606,21338.4947485,28538.402814,51403.5763458,33949.1875555,3634.1331996,24902.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Missouri,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,7396.0872843,765.9957398,8.6749126,1626.3633954,1754.3531051,5.7635181,24.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Oklahoma,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,5021.5849584,11235.8636443,23106.422564,25087.7237216,10397.0697054,21093.016561,7277.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Wyoming,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,1384.9218389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Alabama,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,67.1,1824.6,159.2,12463.15,4137.8,2743.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Arkansas,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,50260.15,3051.75,14055.7,,,5688.1,21344.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
