Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,
All GHG data is presented in units of metric tons of carbon dioxide equivalent,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Quantity of CO2 Received for Injection,2021 Quantity of CO2 Received for Injection,2020 Quantity of CO2 Received for Injection,2019 Quantity of CO2 Received for Injection,2018 Quantity of CO2 Received for Injection,2017 Quantity of CO2 Received for Injection,2016 Quantity of CO2 Received for Injection,2015 Quantity of CO2 Received for Injection,2014 Quantity of CO2 Received for Injection,2013 Quantity of CO2 Received for Injection,2012 Quantity of CO2 Received for Injection,2011 Quantity of CO2 Received for Injection
1011908,110071161238,Howard Glascock Sour Gas Injection Facility,Forsan,TX,79705,,HOWARD COUNTY,32.1425,-101.2683,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,
1003130,110007020856,INDIAN BASIN GAS PLANT,LAKEWOOD,NM,88254,329 MARATHON ROAD,EDDY COUNTY,32.466667,-104.570556,211120,"C,PP,W-PROC",,,,,,,confidential,confidential,confidential,,,
1013090,110071161866,Indian Basin AGI,Lakewood,NM,88254,,EDDY COUNTY,32.46533,-104.57758,211120,UU,,,confidential,confidential,confidential,confidential,,,,,,
1005897,110071160780,Jal #3 Gas Plant,JAL,NM,88252,,LEA COUNTY,32.174281,-103.174134,211130,"C,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1011931,110071160984,James Lake Gas Plant,Goldsmith,TX,79741,,ECTOR COUNTY,31.9636,-102.6018,211130,"C,PP,UU,W-PROC",confidential,,,,,,,,,,,
1009929,110071160377,Katz Field Injection,Knox City,TX,79529,916 FM 2279,KNOX COUNTY,33.427683,-99.834815,211120,UU,confidential,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1005641,110015846094,LINAM RANCH GAS PLANT,HOBBS,NM,88240,,LEA COUNTY,32.6953,-103.2853,211130,"C,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010304,110071160758,LOST SOLDIER UNIT EOR PROJECT,BAIROIL,WY,82322,,CARBON COUNTY,42.0955,-107.0417,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010032,110055518863,Lancaster Ranch Treater,Derby,TX,78017,9322 East Hwy 85,FRIO COUNTY,28.726014,-99.037991,486210,"PP,UU",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,
1009799,110071159397,Levelland / Anton CO2 FLDS,Abernathy,TX,79311,"11 West of Abernathy on 597, 1 mile N on FM 179",HALE COUNTY,33.866995,-101.866362,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1003719,110071162478,Lignite Gas Plant,Lignite,ND,58752,,BURKE COUNTY,48.8743194,-102.5457778,211130,"NN-FRAC,PP,UU",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009636,110061760553,Little Creek EOR Facility,Ruth,MS,39629,4047 Shell Oil Road,PIKE COUNTY,31.345888,-90.358312,211120,UU,confidential,confidential,,confidential,,,confidential,confidential,confidential,confidential,confidential,confidential
1009637,110070082041,Lockhart Crossing EOR Facility,Walker,LA,70785,33733 Duff Road,LIVINGSTON PARISH,30.519792,-90.885878,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010423,110071160804,Mabee CO2 Flood,Tarzan,TX,79783,,ANDREWS COUNTY,32.2097805,-102.22796944,211130,UU,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,
1011385,110071160724,Madison CO2 Facility,Riverton,WY,82501,,FREMONT COUNTY,42.848253,-108.318744,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1008432,110000534020,Maljamar Gas Plant,Maljamar,NM,88264,1001 Conoco Road,LEA COUNTY,32.813889,-103.771944,211130,"C,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,
1009638,110061760526,Mallalieu EOR Facility,Bogue Chitto,MS,39629,1043 Mount Olive Road,LINCOLN COUNTY,31.492798,-90.42003,211120,UU,confidential,confidential,confidential,confidential,,,confidential,confidential,confidential,confidential,confidential,confidential
1009639,110061747258,Martinville EOR Facility,Mendenhall,MS,39114,327 Coho Drive,SIMPSON COUNTY,31.991919,-89.767143,211120,UU,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010318,110071159876,"Mission Creek OpCo, LLC - Arkla Basin",Stamps,AR,71860,213 Lafayette County 36,LAFAYETTE COUNTY,33.310999,-93.490239,211130,"UU,W-ONSH",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1004617,110055509588,Monell CO2 Supplier,Monell,WY,82901,,SWEETWATER COUNTY,41.5744,-108.5414,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1004893,110007973933,Monument Gas Plant,Monument,NM,84265,8201 W Hwy 322,LEA COUNTY,32.624135,-103.292931,211130,"C,NN-FRAC,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,
1001052,110000585910,Mountaineer (1301),NEW HAVEN,WV,25265,1347 Graham Station Road,Mason,38.9794,-81.9344,221112,"C,D",,,,0,0,0,0,0,0,0,0,22276.2
1010146,110055519531,Murmyluk & State Lenox 3-36 GIW,Anchorville,MI,48004,,MACOMB,42.731065,-82.732957,211111,UU,,,,,,,,confidential,confidential,confidential,confidential,confidential
1009996,110055518603,N.W. Velma Hoxbar Unit,Velma,OK,73491,,STEPHENS COUNTY,34.4886,-97.7126,211120,UU,,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010178,110071159235,NE PURDY UNIT EOR PROJECT,LINDSAY,OK,73052,,TEXAS COUNTY,36.9067,-101.6166,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009945,110071159433,North Perryton Unit,Perryton,TX,79070,,OCHILTREE COUNTY,36.4884,-100.894,211130,UU,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1004966,110000729052,"North Shore Midstream, LLC",ROCK SPRINGS,WY,82901,,SWEETWATER,41.38719,-108.74324,211111,"C,UU",,,,,,,,confidential,confidential,confidential,confidential,confidential
1012703,110071162184,OREGON BASIN UNIT,CODY,WY,82414,,PARK COUNTY,44.3572,-108.9115,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1013185,,Oahu Gas Plant,Coyanosa,TX,79743,3542 FM 1776,,31.242421,-103.067545,211130,"C,W-PROC",,confidential,confidential,confidential,,,,,,,,
1009704,110071160326,Odessa RMT,Goldsmith,TX,79741,8913 E. Highway 158,ECTOR COUNTY,31.969907,-102.644587,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009640,110070082042,Olive EOR Facility,Summit,MS,39666,7969 Robert Jones Road,AMITE COUNTY,31.309475,-90.552713,211111,UU,,,,,,,confidential,confidential,confidential,confidential,confidential,confidential
1009641,110055517365,Oyster Bayou EOR Facility,Stowell,TX,77661,5874 FM 1941,CHAMBERS COUNTY,29.692444,-94.5065,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010440,110071159844,PCA Gillespie 5-23A,Manistee,MI,49660,,MANISTEE COUNTY,44.291878,-86.209517,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1012677,110071162183,PITCHFORK FIELD,CODY,WY,82414,,PARK COUNTY,44.1362,-109.0618,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1002934,110002929813,PLATFORM HERMOSA,OFFSHORE,CA,00000,,,34.454167,-120.646667,211120,"C,W-OFFSH",,,,,,,,confidential,confidential,confidential,confidential,confidential
1014467,,"Pinon Midstream, LLC",Jal,NM,88252,465 W NM Hwy 128,,32.1371469260185,-103.287467366585,211130,"C,UU,W-PROC",confidential,confidential,,,,,,,,,,
1010199,110071162295,Postle CO2 Injection,Guymon,OK,73942,,TEXAS COUNTY,36.9049,-101.613,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1014560,,RCS 305 Michigan Basin - CO2,Traverse City,MI,49684,"10691 E Carter Rd, Ste 201",,44.7813192116423,-85.6393618634405,211130,"C,UU",confidential,,,,,,,,,,,
1010420,110002701238,Rangely CO2 Flood,Rangely,CO,81648,,CONTRA COSTA COUNTY,40.0975111,-108.87681111,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,
1011123,110058239017,Riley Ridge Gas Plant,Big Piney,WY,83113,,SUBLETTE COUNTY,42.5011,-110.4228,211111,"C,PP,UU",,,,,,confidential,confidential,confidential,confidential,confidential,,
1011158,110071159820,Roberts CO2 Injection Field Permian Basin 430,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HOCKLEY COUNTY,33.471926,-102.53186,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,
1010072,110055519121,SACROC Field Injection,Snyder,TX,79549,4632 W Hwy 180,SCURRY COUNTY,32.912768,-100.935494,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1001812,110000562720,SAN JUAN RIVER GAS PLANT,KIRTLAND,NM,87417,99 Road 6500,SAN JUAN COUNTY,36.7592,-108.35967,211130,"C,UU,W-PROC",,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1006382,110007175190,SCHAFER COMPRESSOR STATION,SKELLYTOWN,TX,79080,,CARSON,35.5622,-101.1222,211111,UU,,,,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010206,110071160338,SE BRADLEY UNIT EOR PROJECT,LINDSAY,OK,73052,,TEXAS COUNTY,36.9067,-101.6166,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1012642,110071162014,SPRING CREEK SOUTH FIELD,CODY,WY,82414,,PARK COUNTY,44.2267,-109.075,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1013699,110070716032,"Sabinal Energy Operating, LLC - Permian Basin",The Woodlands,TX,77380,"1780 HUGHES LANDING BLVD, SUITE 1200",MONTGOMERY COUNTY,30.173616,-95.469459,211120,W-ONSH,,,confidential,confidential,,,,,,,,
1003698,110055508650,Salt Creek CO2 Supplier,Midwest,WY,82643,,NIOBRARA COUNTY,43.4024,-104.2875,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1003767,110071161038,Sand Hills Gas Plant,Crane,TX,79731,5880 FM 1233,CRANE COUNTY,31.409312,-102.415134,211130,"C,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1012091,110071160272,Seminole East Field (SEF),Gaines County,TX,79360,,GAINES COUNTY,32.7337999,-102.591659,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,
1009861,110055518140,Seminole San Andres Unit,Seminole,TX,79360,,GAINES COUNTY,32.754733,-102.693432,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010148,110055519559,Simpson L2-29 HD-1 GIW,Kalkaska,MI,49646,,KALKASKA,44.791048,-85.060108,211111,UU,,,,,,,,confidential,confidential,confidential,confidential,confidential
1009858,110071159667,Slaughter / Welch / Cedar Lake,Gaines County,TX,79342,,GAINES COUNTY,32.85711,-102.25526,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010507,110071159820,Slaughter CO2 Injection Field Permian Basin 430,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HOCKLEY COUNTY,33.471926,-102.53186,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009646,110071159203,Snyder RMT,Snyder,TX,79549,5000A N. Highway 208,SCURRY COUNTY,32.912768,-100.935494,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009642,110055517374,Soso EOR Facility,Soso,MS,39480,80 Country Road 7,JASPER COUNTY,31.809704,-89.311519,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010407,110071160949,State Frederic 3-2 SWD,Frederic,MI,49733,,CRAWFORD COUNTY,44.848915,-84.75335,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010324,110071161097,State Kalkaska 1-24F EOR,Kalkaska,MI,49646,,MISSAUKEE COUNTY,44.291878,-85.225829,211130,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010421,110070082079,Sundown CO2 Flood,Sundown,TX,79372,,HOCKLEY COUNTY,33.430853,-102.491935,211120,UU,,,,confidential,confidential,,confidential,confidential,confidential,confidential,confidential,
1011843,110070082150,Tall Cotton Central Production Facility,Seminole,TX,79360,1553 County Road 208,,32.783643,-102.889578,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,
