Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Gathering & Boosting ,2021 Total reported emissions from Gathering & Boosting ,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012861,110071162343,Arsenal Midstream LLC 160A Appalachian Basin GB,160A - Appalachian Basin (Eastern Overthrust Area),Wexford,PA,15090,"6031 Wallace Road Ext., Suite 300",ALLEGHENY COUNTY,40.63381,-80.0646,211130,W-GB,35675.536,35631.888,45015.654,68025.366,64570.83,32114.112,32431.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012440,110070082290,Atlas-160-Appalachia-OH-B & G,160 - Appalachian Basin,Pittsburgh,PA,15275,1000 Commerce Drive,ALLEGHENY COUNTY,40.4591,-80.19626,211130,W-GB,,,,,0,25215.124,69974.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012450,110043800875,BASIN 305 G&B,305 - Michigan Basin,GAYLORD,MI,49735,1165 ELKVIEW DRIVE,OTSEGO COUNTY,45.01368,-84.67351,211130,W-GB,5896.78,7961.68,53613.308,94238.53,105153.938,110946.882,112772.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012621,110070082407,BBOG Gulf Coast Basin #220 G&B,"220 - Gulf Coast Basin (LA, TX)",San Antonio,TX,78258,"18615 Tuscany Stone, STE 300",BEXAR COUNTY,29.61182,-98.49029,213112,W-GB,,,,,,,42688.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013230,110071140825,BCE-Mach III Midstream Holding LLC (Boosters - 360 Anadarko Basin GB,360 - Anadarko Basin,Oklahoma City,OK,73134,14201 Wireless Way St 300,OKLAHOMA COUNTY,35.614228,-97.579012,211130,W-GB,103860.75,66643.43,37311.686,123433.372,84948.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013731,110070716039,BMM - Anadarko G-B Gathering System,360 - Anadarko Basin,Houston,TX,77002,"600 Travis, Suite 1500",HARRIS COUNTY,29.76012,-95.3638,486210,W-GB,,,,43224.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012452,110070082295,BPX Energy 220 Gulf Coast Basin GB,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77079,501 Westlake Park Blvd,HARRIS COUNTY,29.78037,-95.6295,211130,W-GB,226459.586,167051.42,195950.924,179931.02,181892.328,218530.118,244969.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012477,110070082313,Baker Gathering Facility,395 - Williston Basin,Baker,MT,59313,1014 East Montana Ave.,FALLON COUNTY,46.36737,-104.25974,486210,W-GB,,,,50262.092,50973.088,52055.234,55669.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012748,110071162258,Basin 220 South TX & South LA - BG,"220 - Gulf Coast Basin (LA, TX)",Dallas,TX,75201,1900 N. Akard,DALLAS COUNTY,32.7871,-96.80262,211130,W-GB,,,1906.4,2606.9,2087.5,15823.612,28255.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012807,110070082509,Basin 395 North Dakota BG,395 - Williston Basin,Dallas,TX,75201,1900 N Akard,DALLAS COUNTY,32.7871,-96.80262,211120,W-GB,,,,812.1,0,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014309,,Basin 430 (Permian) - BG,430 - Permian Basin,Dallas,TX,75201,1900 North Akard St,,32.7877460671578,-96.8024585289041,211120,W-GB,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012712,110040414851,Basin 430 G&B,430 - Permian Basin,Houston,TX,77079,"11750 Katy Freeway, Suite 200",,32.7877460671578,-96.8024585289041,211120,W-GB,207679.824,171814.374,200671.884,141529.032,181685.564,215685.774,19447.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012826,110070082219,Basin 540 Denver Julesburg  G&B,540 - Denver Basin,Houston,TX,77070,1001 Noble Energy Way,,29.9601879,-95.5587992,486210,W-GB,424242.584,441189.032,525827.438,656334.546,663885.734,657149.106,473771.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012272,110070082219,Basin 540 Denver Julesburg  NBL Midstream Holdings LLC,540 - Denver Basin,Houston,TX,77070,1001 Noble Energy Way,,29.9601879,-95.5587992,486210,W-GB,,61838.888,65807.872,42242.472,54931.446,68619.13,56895.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012713,110070082458,Berry Petroleum Company 575 Uinta Basin Gathering and Boosting,575 - Uinta Basin,Bakersfield,CA,93309,5201 Truxtun ave.,KERN COUNTY,35.368562,-119.060231,211130,W-GB,37391.428,27182.68,29495.072,33764.372,47442.594,37372.274,53353.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012219,110070209511,"Bighorn Gas Gathering, L.L.C 515 Powder River Basin",515 - Powder River Basin,Houston,TX,77002,"1001 Louisiana St, Suite 1000",HARRIS COUNTY,29.75816,-95.36782,211130,W-GB,,,286.4,1209.95,1984.15,29946.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012412,110071162049,Black Bear Gathering and Boosting  Arkla Basin,230 - Arkla Basin,Frierson,LA,71027,1716 Friendship Rd,DE SOTO PARISH,32.234479,-93.68189,486210,W-GB,,20466.98,18980.436,21400.028,26311.512,43036.85,33949.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012800,110071162192,Black Hills Energy Arkansas LLC_345 Arkoma Basin_GB,345 - Arkoma Basin,Fayetteville,AR,72703,655 E. Millsap Road Suite 104,WASHINGTON COUNTY,36.11468,-94.14823,486210,W-GB,29469.458,25474.27,57501.156,62937.032,66194.53,67560.93,89819.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012711,110070082465,"Blackhill Energy, LLC 160A Appalachian Basin (Eastern Overthurst) Gathering & Boosting",160A - Appalachian Basin (Eastern Overthrust Area),Canonsburg,PA,15317,"4600 J Barry Court, Suite 320",HARRIS COUNTY,29.75894,-95.37096,211120,W-GB,29099.022,23001.592,19325.258,10754.406,20222.266,18964.326,47663.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013930,110070930971,Blue Mountain Midstream - G&B - Basin 360,360 - Anadarko Basin,Tulsa,OK,74103,320 S Boston Ave. St 900,TULSA COUNTY,36.15344,-95.98963,211130,W-GB,30836.298,28185.06,43533.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012563,110071161904,"Blue Racer Midstream, LLC 160 Appalachian Basin GB",160 - Appalachian Basin,Dallas,TX,75225,"5949 Sherry Lane, Suite 1700",DALLAS COUNTY,32.8623,-96.8101,211130,W-GB,30402.478,32119.618,39067.124,45245.042,36179.466,30769.186,12077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012532,110071161904,"Blue Racer Midstream, LLC 160A Appalachian Basin (Eastern Overthrust Area) GB",160A - Appalachian Basin (Eastern Overthrust Area),Dallas,TX,75225,"5949 Sherry Lane, Suite 1700",DALLAS COUNTY,32.8623,-96.8101,211130,W-GB,69958.506,65951.398,70871.024,85043.416,63378.206,233006.902,20688.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012589,110067418360,Bluestone Gathering System,160A - Appalachian Basin (Eastern Overthrust Area),New Milford,PA,18834,1429 Oliver Rd,SUSQUEHANNA COUNTY,41.8211,-75.684814,486210,W-GB,196122.07,213381.828,249333.938,194552.24,188622.316,131525.204,109835.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
