Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Onshore Oil & Gas Production ,2021 Total reported emissions from Onshore Oil & Gas Production ,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012999,,ALLIANCE PETROLEUM CORPORATION,160A - Appalachian Basin (Eastern Overthrust Area),CANTON,OH,44718,"4150 BELDEN VILLAGE AVE NW, SUITE 410",,40.8540649,-81.460856,211130,W-ONSH,,,,,,56720.5,31133.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013736,,APR - Basin 430 - Production,430 - Permian Basin,Midland,TX,79701,"400 W. Illinois, Suite 970",,32.000017,-102.078534,211130,W-ONSH,29255.434,43737.808,151446.576,125612.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013417,,Abraxas Petroleum 430 Permian Basin,430 - Permian Basin,San Antonio,TX,78258,18803 Meisner Dr.,,31.56434,-102.796,211120,W-ONSH,39117.89,115832.602,97224.026,101231.618,77006.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013983,,Advance Energy Partners - Basin 430,430 - Permian Basin,Houston,TX,77077,"11490 Westheimer Road, Suite 950",,29.7380743686263,-95.5807676716953,211120,W-ONSH,148986.984,103284.516,112278.406,68429.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008346,,Aera Energy San Joaquin Basin,745 - San Joaquin Basin,Bakersfield,CA,93311,10000 Ming Avenue,,35.1268513,-119.1855785,211120,W-ONSH,,,,,,,,29427.134,42168.408,43407.916,32176.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012509,110070082335,Aethon Energy Operating-230-Arkla Basin,230 - Arkla Basin,Dallas,TX,75251,12377 Merit Dr. Suite 1200,,32.9208727,-96.7734911,211130,W-ONSH,309648.08,216823.79,160490.13,221479.444,147400.428,136581.802,226287.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012511,,Aethon Energy Operating-260-East Texas Basin,260 - East Texas Basin,Dallas,TX,75251,12377 Merit Dr. Suite 1200,,32.91606,-96.773085,211130,W-ONSH,205851.89,91225.008,86623.154,93825.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011895,110071161237,Aethon Energy Operating-530-Wind River Basin,530 - Wind River Basin,Lysite,WY,82642,,FREMONT COUNTY,43.182208,-107.541229,211130,W-ONSH,94866.2,100801.404,111749.814,101497.748,125238.116,105817.294,105440.344,53018.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009511,110045464172,"Alta Mesa Services, LP","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77094,"15021 Katy Freeway, Suite 400",HARRIS COUNTY,29.78434,-95.64861,211120,W-ONSH,,,,,44493.232,93523.93,102351.42,286282.812,215002.044,154368.928,96266.25,176289.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011546,110063744756,Altas 220/Gulf Coast - Eagle Ford,"220 - Gulf Coast Basin (LA, TX)",Pittsburgh,PA,15275,"1000 Commerce Drive, Suite 400",ALLEGHENY COUNTY,40.45917,-80.19482,211130,W-ONSH,,,,35025.616,31021.376,30450.518,40631.558,47151.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014730,,Ameredev II 430 Permian Basin,430 - Permian Basin,Austin,TX,78746,2901 Via Fortuna Ste 600,,30.2510799998152,-97.800195460943,211120,W-ONSH,123149.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011394,110062541496,"American Energy - Permian Basin, LLC",430 - Permian Basin,Oklahoma City,OK,73154,PO Box 18756,OKLAHOMA COUNTY,35.524086,-97.52574,211111,W-ONSH,,,,,,,,374871.256,314764.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010839,,Amplify Energy Operating 260 East Texas Basin,260 - East Texas Basin,Houston,TX,77002,"500 Dallas Street, Suite 1600",,29.7555,-95.3616,211130,W-ONSH,119874.412,107147.29,157075.134,138657.832,152111.168,143012.48,106639.342,124263.668,204118.998,29975.268,149124.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009862,,"Amplify Energy Operating LLC 220 Gulf Coast Basin (LA, TX)","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,500 Dallas Street Suite 1600,,29.7555,-95.3616,211130,W-ONSH,15993.768,16361.568,28241.578,21850.966,24061.36,62609.654,56792.974,53026.572,77510.268,47961.678,126322.856,132826.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010701,,"Amplify Operating Oklahoma, LLC.",360 - Anadarko Basin,Alva,OK,73717,19051 Country Road 500,,36.15307,-95.98943,211120,W-ONSH,7991.736,7762.086,9197.986,14524.932,57929.476,326661.85,353532.448,238365.45,179108.25,27228.3,21038.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009845,,Anadarko Basin,360 - Anadarko Basin,Irving,TX,75039,5221 N O'Connor Blvd. 11th Floor,,29.73177,-95.43444,211130,W-ONSH,,37884.932,56612.002,54794.454,56362.05,55926.452,56004.604,56066.39,35360.454,32923.714,107748.474,189536.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008952,110055515401,Anadarko Basin - 360,360 - Anadarko Basin,Houston,TX,77210,PO Box 4358,HARRIS COUNTY,29.77,-95.37,211111,W-ONSH,,,,,,,,,0,,29520.7,29512.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008715,110055514215,Anadarko Facility,360 - Anadarko Basin,Houston,TX,77024,"840 Gessner Road, Suite 800",,29.7726138,-95.514493,211130,W-ONSH,,,,,8836.3,15551.048,15548.048,15516.55,18509.494,23091.2,56764.4,2167290.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
