Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Local Distribution Companies,2021 Total reported direct emissions from Local Distribution Companies,2020 Total reported direct emissions from Local Distribution Companies,2019 Total reported direct emissions from Local Distribution Companies,2018 Total reported direct emissions from Local Distribution Companies,2017 Total reported direct emissions from Local Distribution Companies,2016 Total reported direct emissions from Local Distribution Companies,2015 Total reported direct emissions from Local Distribution Companies,2014 Total reported direct emissions from Local Distribution Companies,2013 Total reported direct emissions from Local Distribution Companies,2012 Total reported direct emissions from Local Distribution Companies,2011 Total reported direct emissions from Local Distribution Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002330,110071159546,Citizens Gas - Indianapolis,IN,Indianapolis,IN,46202,2020 North Meridian Street,MARION COUNTY,39.79398,-86.15734,221210,NN-LDC,,,,,,,17508.6,17533.6,17615.2,18141.8,18584.9,21775.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003491,110071159290,City Utilities Natural Gas Distribution System,MO,SPRINGFIELD,MO,65802,301 E. CENTRAL,GREENE COUNTY,37.21738,-93.29036,221210,"NN-LDC,W-LDC",6285.8,6330.05,6343.3,6319.15,6347.05,6319.6,6293.15,6307.7,6323.6,6254.5,6234.05,6234.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008498,110071162116,City of Chanute - Utility Complex,KS,Chanute,KS,66720,1002 East 14th Street,NEOSHO COUNTY,37.690348,-95.401344,221210,"NN-LDC,W-LDC",1235.25,2068.5,3612.3,1287.85,1357.35,1308.85,1334.1,1524.4,1494.55,1601.65,1428.45,1439.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004063,110071162224,City of Charlottesville,VA,Charlottesville,VA,22902,605 East Main St,CHARLOTTESVILLE CITY,38.0296,-78.47772,221210,"NN-LDC,W-LDC",1595.05,1589.3,1580.55,1574.8,1564.8,1554.55,31152,0,1228,1220,1360,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005531,110071160007,City of Clarksville Gas & Water Dept,TN,Clarksville,TN,37043,2215 Madison St,MONTGOMERY COUNTY,36.5097,-87.27772,221210,NN-LDC,,,,,,3498.7,3844.6,5180.7,3753.25,3732.5,3683.4,3624.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005451,110071159444,City of Covington,TN,Covington,TN,38019,200 W. Washington Ave,TIPTON COUNTY,35.56296,-89.64792,921120,"NN-LDC,W-LDC",360,360,360,360,360,361.5,0,360.5,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010955,,City of Deming,NM,Deming,NM,88030,309 South Gold Avenue,,32.266538,-107.758404,221210,"NN-LDC,W-LDC",730.55,0,0,0,1349.1,1399.1,1399.1,1451.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011040,110057067677,City of Lebanon - Gas Department,,Lebanon,TN,37087,1017 Sparta Pike,WILSON,36.1951,-86.27495,221210,"NN-LDC,W-LDC",,,,,,,,,,,1035.8,1018.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010159,,City of Lexington,NC,Lexington,NC,27292,28 West Center Street,,35.7352485,-80.2321313,221210,"NN-LDC,W-LDC",2258.55,2149.5,2111.25,2057.4,2030.55,2021.8,2007.3,1967.2,1923.55,1872.3,1854.45,1825.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006629,110071159511,City of Long Beach Gas and Oil Department,CA,Long Beach,CA,90806,2400 E. Spring St,LOS ANGELES COUNTY,33.8117,-118.16328,221210,NN-LDC,,,,,,,,,6250.75,6326.5,6493.8,6516.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
